"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,1.51971,5.334,1.62309,1.19853,166.235,158.725,144.608
2,1.85663,7.62,2.10222,1.22826,86.0426,83.5319,77.234
3,15.2688,19.7273,6.20679,3.14615,233.42,206.093,165.613
4,14.8458,19.6427,6.16619,3.0932,200.981,174.197,132.583
5,13.8279,18.9653,6.07651,2.9044,227.595,209.985,175.871
6,15.6989,18.796,6.49017,3.08723,195.793,169.897,133.172
7,18.4802,20.1507,6.52904,3.60793,210.571,185.401,149.029
8,15.3261,18.796,6.17969,3.16358,208.871,186.047,147.079
9,15.9641,19.1347,6.03008,3.37757,228.929,208.663,172.921
10,15.7993,19.2193,6.02363,3.34809,222.275,198.467,161.099
11,1.90681,6.43467,1.66409,1.51065,219.357,195.043,149.714
12,15.3691,19.6427,5.99414,3.27503,205.074,181.603,141.977
13,16.4659,18.9653,6.23323,3.3693,218.841,197.537,161.008
14,16.0071,20.1507,6.47851,3.1523,221.006,201.111,165.706
15,16.1505,18.6267,6.28956,3.27565,223.801,205.827,171.659
16,17.276,19.8967,6.30342,3.49791,226.558,207.109,170.196
17,17.1756,19.812,6.233,3.51395,208.067,180.374,141.147
18,17.2688,19.4733,6.58553,3.34209,220.869,200.058,160.458
19,17.0179,19.6427,5.80936,3.74506,182.48,157.327,121.851
20,15.5555,18.288,6.16961,3.21632,233.006,206.78,165.664
21,17.3405,21.4207,7.00339,3.16123,231.03,209.006,163.1
22,16.939,19.812,5.75692,3.75582,188.054,165.993,133.689
23,16.1863,20.4893,6.57377,3.14357,237.214,222.541,188.747
24,17.9068,20.066,6.66389,3.43192,202.467,175.882,133.831
25,16.1792,20.1507,6.48832,3.17986,221.046,197.708,159.209
26,12.681,17.526,5.43929,2.98449,205.876,183.289,143.931
27,16.896,19.9813,6.08342,3.54294,217.901,197.484,159.218
28,16.6738,19.6427,6.32832,3.35788,216.726,192.859,155.475
29,17.4767,20.6587,6.62515,3.36463,209.301,183.987,144.316
