"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,16.6666,20.1507,6.39382,3.32514,208.076,179.326,139.876
2,13.6272,18.4573,5.7454,3.03493,208.75,182.806,145.58
3,13.0322,17.6107,5.62119,2.96427,210.077,180.803,142.814
4,16.4731,19.6427,6.33039,3.3216,228.45,204.492,166.619
5,17.1039,19.1347,6.53205,3.33825,215.992,188.576,150.189
6,15.2043,18.1187,5.96279,3.25153,212.859,184.705,143.045
7,14.2222,17.272,5.84489,3.10262,208.309,179.845,141.044
8,13.491,18.9653,5.94366,2.89705,239.961,225.583,193.621
9,16.9749,20.32,6.51505,3.32389,235.754,213.838,175.522
10,13.5914,17.6107,5.98158,2.89932,215.977,193.001,153.4
11,13.8351,17.8647,5.5947,3.1589,217.694,193.221,157.67
12,17.491,19.1347,5.85822,3.81131,223.762,197.16,158.331
13,16.0358,19.4733,6.38892,3.19971,206.432,179.548,141.899
14,15.2616,18.9653,6.32632,3.07503,226.686,199.91,156.947
15,14.1792,18.796,6.07843,2.97456,218.504,191.476,151.065
16,17.1398,20.828,6.57668,3.32672,213.023,190.215,155.636
17,15.319,20.1507,6.55727,2.98241,217.576,191.634,151.859
18,17.6559,19.812,6.61636,3.40278,215.838,188.279,152.678
19,17.2975,19.812,6.6518,3.31572,219.708,195.84,158.945
20,17.8136,19.6427,6.30354,3.60587,215.198,188.325,148.604
21,19.9068,21.082,6.74352,3.76728,217.191,193.596,159.135
22,16.1362,18.796,6.47489,3.1783,223.049,196.434,153.443
23,17.0107,19.812,6.11442,3.55479,201.386,180.281,149.564
24,17.8423,20.32,7.11225,3.1976,221.224,192.296,151.383
25,16.4301,19.4733,6.15358,3.4065,215.372,194.426,158.677
26,18.0286,21.6747,6.84628,3.35916,222.962,198.416,162.275
27,16.6451,19.4733,6.37351,3.33436,215.461,196.06,163.27
28,13.6415,18.796,6.05947,2.87211,219.56,202.094,169.639
29,17.0967,19.4733,6.3921,3.41238,212.823,192.296,155.898
30,18.3154,20.2353,7.08685,3.30158,209.246,182.569,143.079
31,12.6953,16.5947,5.87556,2.75606,220.368,194.117,154.502
32,17.1039,20.1507,6.37318,3.42143,226.568,201.616,161.285
33,16.8172,19.8967,6.11356,3.51014,218.23,196.814,163.031
