"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,17.9713,20.9973,6.60092,3.47259,200.885,175.047,136.142
2,16.5734,19.4733,6.23916,3.38825,192.304,168.968,133.161
3,12.767,17.9493,5.77083,2.82076,218.7,195.567,156.704
4,17.8351,20.828,6.68488,3.40169,219.138,196.537,157.853
5,16.3297,18.9653,6.45076,3.22727,223.901,199.947,161.673
6,16.7168,20.6587,6.62346,3.21859,217.376,190.969,151.487
7,17.1828,22.4367,6.4387,3.42012,196.622,171.617,131.719
8,16.2795,19.4733,6.38033,3.25755,220.755,203.348,170.535
9,15.1971,19.9813,6.51628,2.97978,223.035,208.538,177.984
10,12.2437,17.78,5.68795,2.75066,217.547,195.596,161.34
11,11.6917,17.78,6.06492,2.46707,233.027,208.299,168.119
12,12.9821,18.288,6.00183,2.76129,220.771,194.324,154.289
13,12.1577,17.4413,5.58883,2.78194,214.775,193.143,158.428
14,16.1577,18.4573,6.44805,3.19987,212.469,194.499,158.828
15,16.8673,21.6747,7.01994,3.07724,209.088,184.675,147.601
16,15.0681,19.05,5.84336,3.29512,234.266,216.318,182.706
17,15.2903,18.4573,6.30111,3.09397,221.561,200.965,164.853
18,15.957,18.796,6.53184,3.11918,207.268,180.9,142.237
19,15.7993,19.2193,6.34102,3.18148,203.175,179.463,142.238
20,17.0251,21.1667,6.81263,3.18849,206.246,181.956,146.756
21,9.2903,15.4093,4.81647,2.48744,222.076,198.412,159.926
22,17.1111,21.082,6.63683,3.28774,214.682,184.931,145.492
23,14.6666,17.6107,5.87459,3.18737,207.555,185.23,145.993
24,16.6236,19.4733,5.8785,3.60943,199.68,176.736,140.16
25,14.086,18.4573,5.98436,3.00678,206.021,184.498,148.993
26,16.1075,19.4733,6.23893,3.29455,233.16,209.426,173.239
27,14.0717,18.9653,5.99595,2.99967,217.687,191.988,152.695
28,14.5878,17.78,5.9952,3.10661,203.957,177.078,138.02
29,15.3476,19.8967,6.22812,3.14333,222.839,201.275,164.403
30,16.4372,20.32,6.6661,3.1436,217.827,193.15,153.639
31,15.5699,19.4733,6.09014,3.26195,228.227,210.032,173.034
32,10.5735,17.1873,5.50233,2.46021,241.67,222.514,183.902
33,18.4229,20.828,6.71402,3.49839,210.761,185.685,147.209
34,13.7778,19.4733,6.3702,2.77058,207.04,181.917,143.551
35,16.043,19.4733,6.22665,3.28658,211.18,193.945,160.95
36,19.4767,20.828,6.7132,3.69898,203.593,175.786,137.333
37,18.4874,21.1667,6.65438,3.54281,228.715,203.27,160.539
38,14.4731,18.4573,6.22998,2.96536,222.882,201.808,163.788
39,11.957,17.4413,5.50887,2.77604,215.268,192.001,153.892
40,16.3727,19.1347,6.49706,3.21347,217.278,196.912,161.553
41,17.4695,20.9973,6.52298,3.41469,208.486,181.708,140.108
42,18.3727,21.336,6.75994,3.46754,217.358,195.032,157.665
43,16.2079,19.812,6.63552,3.11492,211.967,194.003,159.062
44,19.8853,23.368,7.13637,3.56311,221.736,202.185,168.772
45,15.5197,19.2193,6.26162,3.16692,203.481,181.731,149.215
46,19.1469,21.1667,6.58528,3.71081,214.463,196.611,164.875
47,13.3978,17.272,5.91303,2.89039,226.597,207.737,172.973
48,18.8028,20.32,6.79223,3.53023,201.718,174.28,136.043
49,16.6451,19.304,6.14734,3.45244,210.922,190.211,150.926
50,17.7921,20.574,7.03892,3.22981,197.276,171.081,131.911
51,16.3082,20.1507,6.4098,3.24453,213.974,189.649,152.788
52,14.9534,18.7113,6.24594,3.0599,222.993,206.226,175.816
53,16.5878,20.1507,6.45545,3.27581,205.074,175.075,134.675
54,15.0322,19.6427,6.28893,3.04801,212.497,184.391,144.978
55,16.1648,18.796,6.37703,3.23357,216.854,197.474,158.419
56,17.7061,20.4893,6.35707,3.5514,224.465,205.503,168.453
57,15.7347,19.9813,6.34402,3.16617,211.359,181.891,143.406
58,13.9785,17.272,5.7256,3.11742,234.328,217.951,181.497
59,16.4086,18.796,6.48095,3.22858,223.45,200.345,160.317
60,16.9892,18.9653,6.37933,3.39853,215.123,199.437,168.99
61,16.5663,19.6427,6.47619,3.26744,208.897,189.554,153.598
62,16.6881,19.2193,6.41287,3.32132,209.573,190.986,153.895
63,16.3154,18.9653,6.56548,3.16762,216.489,189.884,149.456
64,18.6093,21.336,6.72439,3.52845,217.549,193.974,156.916
65,16.5806,20.32,6.46148,3.27226,199.761,169.47,129.884
66,16.3297,19.1347,6.4064,3.24896,215.16,191.533,151.508
67,14.9605,18.4573,6.30237,3.0286,220.606,194.761,155.313
68,17.5842,20.4893,6.54428,3.42928,222.835,197.825,158.745
69,15.6989,19.304,5.94542,3.36613,211.027,186.958,149.29
70,12.4014,17.8647,5.81322,2.73248,228.302,209.692,179.56
71,14.2652,19.304,6.25717,2.91229,203.352,184.034,150.295
72,15.0394,19.4733,6.15427,3.11646,218.554,195.318,156.557
73,19.7491,22.606,7.08517,3.56713,214.038,193.681,159.238
74,17.6989,19.9813,6.60084,3.42066,219.782,195.066,153.531
75,15.0394,18.4573,6.1509,3.11801,217.138,191.573,151.591
76,16.258,19.1347,5.92036,3.50299,198.608,175.335,138.792
77,15.5053,20.1507,6.47544,3.05424,215.334,188.87,149.51
78,15.1111,19.2193,6.41128,3.00518,211.821,187.596,145.613
79,14.9462,18.6267,6.38481,2.98546,215.697,193.965,156.756
80,15.4838,18.288,6.15218,3.20945,209.868,185.064,146.839
81,15.276,18.288,6.29503,3.09789,228.847,204.843,166.696
82,13.0036,16.9333,5.78281,2.87296,214.405,191.448,151.242
83,18.3799,20.828,6.53351,3.58801,210.611,181.572,141.684
84,14.8387,20.4893,5.84169,3.26413,202.743,180.353,143.018
85,13.3835,17.272,5.92285,2.87967,207.578,177.681,136.44
86,16.1003,19.6427,6.36293,3.22629,228.085,208.08,173.31
87,13.5125,18.1187,5.8991,2.9216,211.275,183.507,143.61
88,15.0251,18.4573,6.10272,3.13916,215.542,193.322,152.803
89,15.7777,19.9813,6.31485,3.19062,210.641,183.303,144.535
90,13.0681,16.5947,5.60503,2.97617,217.246,196.116,160.657
91,15.5627,18.7113,6.34089,3.13429,212.269,188.202,149.173
92,17.362,20.828,6.6076,3.35058,211.83,189.36,150.13
93,16.7311,20.4893,6.58071,3.24226,216.186,191.475,152.973
94,15.6989,19.558,6.00023,3.33998,221.39,198.411,159.25
95,17.6774,20.9973,6.79037,3.31851,220.097,194.26,154.78
96,15.1469,18.9653,6.01063,3.22193,203.078,176.677,136.98
97,15.8638,18.796,5.88042,3.44616,221.015,197.688,152.483
98,14.0573,19.304,6.18973,2.89882,227.172,209.165,175.29
99,15.6774,19.9813,6.48058,3.08627,216.148,188.756,149.613
100,15.9211,18.7113,6.44012,3.15707,233.674,211.259,171.943
101,11.7276,17.4413,5.7982,2.57886,219.981,198.674,158.52
102,14.0358,18.6267,6.17257,2.90784,214.789,186.978,147.91
103,18,21.2513,6.40235,3.5996,205.944,181.828,146.68
104,16.7168,18.2033,5.74471,3.71463,217.598,193.717,155.74
105,14.9247,17.9493,6.49734,2.93238,216.741,188.993,151.882
106,16.5448,19.8967,6.17991,3.41945,229.74,211.786,174.893
107,13.4408,18.542,5.54969,3.09552,209.067,182.943,144.311
108,15.9283,18.9653,6.03941,3.37011,212.712,192.071,154.12
109,14.8889,18.6267,6.0637,3.13455,223.064,198.597,161.23
110,16.5376,19.812,6.42986,3.28088,203.104,173.83,134.509
111,20.2939,22.2673,6.98552,3.72081,233.694,214.481,177.59
112,13.0322,18.1187,5.98142,2.77874,209.44,182.906,143.841
113,18.9605,21.336,6.88451,3.51666,213.848,190.592,152.314
114,17.4695,21.082,6.59926,3.37741,211.7,183.383,143.334
115,20.5878,21.844,7.09692,3.70857,205.682,181.906,145.493
116,12.3656,16.5947,5.56179,2.8351,218.875,197.845,159.142
117,17.9139,21.5053,6.81249,3.35314,214.318,190.668,153.016
118,8.59496,14.5627,5.24623,2.09118,216.436,195.948,165.382
119,18.043,20.32,6.46547,3.55798,209.144,180.691,138.259
120,19.8781,22.5213,7.17635,3.53375,211.168,186.56,148.754
121,17.9928,21.6747,6.61802,3.47617,218.574,193.07,154.854
122,17.2616,21.336,7.20619,3.06244,216.942,189.256,149.259
123,13.8423,17.6953,5.84835,3.01899,191.08,167.149,129.687
124,15.4265,18.796,6.52966,3.01587,214.358,188.891,152.605
125,13.3261,18.2033,5.72432,2.96966,214.377,188.343,151.089
126,15.1182,20.1507,6.66136,2.90248,211.5,186.549,146.425
127,15.0466,18.034,6.1787,3.10702,215.676,196.186,158.291
128,18.5519,22.0133,6.9768,3.39237,220.03,202.577,172.267
