"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,16.5591,19.304,6.47385,3.26028,210.813,185.719,146.014
2,8.85303,14.0547,4.89729,2.31167,214.469,192.049,157.538
3,13.8996,18.6267,5.89653,3.01389,214.945,187.424,148.809
4,16.3225,19.7273,6.80687,3.0585,221.388,199.554,160.433
5,16.215,19.6427,6.49196,3.18839,217.381,196.996,162.767
6,14.4588,18.6267,6.10927,3.01641,219.417,194.769,158.871
7,18.0501,20.828,6.77289,3.39929,204.014,182.211,145.638
8,9.32615,14.732,5.15828,2.30671,204.439,179.216,138.277
9,16.5376,19.9813,6.51836,3.23678,206.671,178.675,139.611
10,18.4444,21.336,6.66624,3.5282,223.766,203.088,168.749
11,15.2114,18.3727,6.3459,3.0553,205.306,178.812,143.769
12,15.7993,18.796,6.50864,3.09945,208.19,184.043,146.862
13,13.6846,18.9653,5.74035,3.05597,233.605,211.741,174.278
14,15.9211,19.304,5.83446,3.4888,231.201,209.387,174.59
15,13.6702,17.9493,5.56066,3.14132,196.533,170.87,133.232
16,20.6595,22.1827,7.34913,3.5833,211.663,187.203,149.883
17,17.0752,20.1507,6.17714,3.52665,216.523,189.084,150.74
18,15.7276,19.1347,6.19945,3.2362,225.343,209.667,178.72
19,16.5663,18.8807,6.32261,3.34391,226.035,208.765,174.383
20,15.1613,19.05,6.29433,3.07086,212.876,188.665,149.534
21,14.2939,18.288,6.01182,3.0334,227.585,208.056,171.705
22,16.1362,18.8807,6.35984,3.23423,215.409,189.366,149.646
23,15.2616,19.304,6.16391,3.15726,215.593,189.504,150.251
24,13.0967,17.6107,5.88075,2.85332,213.882,188.867,151.413
25,11.8208,17.9493,5.7586,2.63005,213.866,193.58,154.819
26,17.7491,20.1507,6.3395,3.57065,210.156,186.18,150.094
27,16.8673,20.32,6.49053,3.31167,214.989,193.949,156.577
28,14.5663,18.4573,6.23234,2.98094,205.669,183.319,146.847
29,17.6272,20.1507,6.53107,3.44258,216.612,196.736,161.039
30,20.2007,22.5213,7.04842,3.65491,209.75,182.573,144.022
31,18.0215,21.1667,6.85514,3.35081,199.839,179.822,144.52
32,13.1828,17.78,5.74184,2.92763,211.505,185.423,147.261
33,19.0322,22.352,7.08743,3.42599,218.784,201.899,172.807
34,15.7491,19.9813,6.34469,3.16695,215.148,195.121,163.388
35,19.2831,21.2513,6.70824,3.66612,226.077,208.228,172.406
36,17.9856,20.828,6.73205,3.40687,222.911,197.793,161.783
37,14.6953,18.6267,6.03785,3.10394,212.35,187.831,147.32
38,12.5089,17.9493,6.01817,2.6512,204.924,174.942,134.19
39,16.5448,19.7273,6.14441,3.43282,204.724,181.326,143.198
40,16.6308,20.4893,6.49962,3.26326,211.659,187.997,153.338
41,16.3656,19.4733,6.50971,3.2112,202.655,175.895,138.778
42,10.2652,16.1713,5.48566,2.3956,215.896,187.3,149.719
43,7.47669,13.716,5.0444,1.89336,239.329,218.52,182.209
44,13.1828,18.1187,5.6764,2.96508,205.864,182.724,146.706
45,14.4588,19.812,6.51342,2.83701,218.676,200.733,166.829
46,17.6057,20.32,6.43216,3.49226,208.827,185.587,148.896
47,13.5484,18.9653,6.23917,2.76812,208.056,181.848,143.27
48,15.6344,19.05,6.6381,3.0028,209.479,185.3,147.634
49,12.3727,17.272,5.47441,2.88096,202.898,182.191,147.683
50,13.9713,18.9653,6.33198,2.81611,218.71,192.964,151.436
51,20.4372,22.352,6.98791,3.73158,193.245,168.388,138.222
52,15.0609,20.32,6.52893,2.94916,219.84,196.418,159.5
53,18.4372,20.1507,6.53674,3.59662,206.694,181.755,144.057
54,13.0609,17.4413,5.47436,3.04617,200.185,177.041,139.791
55,17.7562,20.2353,6.61768,3.42536,222.619,200.468,162.721
56,15.9641,20.32,6.494,3.13775,213.886,194.474,159.774
57,11.4623,17.1027,5.70762,2.56311,207.616,190.065,156.496
58,16.7168,20.4047,6.42964,3.3196,194.675,172.061,136.744
59,18.2078,20.4893,6.67359,3.48421,215.69,190.822,151.686
60,16.853,20.6587,6.54432,3.28496,208.667,183.469,144.506
61,8.79568,15.0707,5.25881,2.13388,217.14,194.935,155.581
62,15.4982,18.542,6.01647,3.28438,221.864,201.274,166.035
63,16.1577,19.3887,6.76466,3.04565,226.186,202.154,163.64
64,15.3548,19.6427,6.04828,3.24008,220.937,198.931,160.686
65,17.2473,20.7433,6.43745,3.41903,212.047,186.179,149.633
66,17.7706,19.304,6.35148,3.57242,220.982,200.236,165.432
67,14.3082,18.4573,5.75761,3.16722,215.753,188.646,150.127
68,17.5914,20.066,6.25098,3.58657,217.147,191.599,153.183
69,18.172,20.9973,6.68879,3.46389,220.987,197.958,161.347
70,15.3763,20.1507,6.47814,3.0363,218.315,192.162,154.004
71,14.8028,18.9653,6.43814,2.93166,227.731,202.009,159.648
72,11.6272,16.0867,5.72212,2.59357,200.996,180.62,147.082
73,13.7849,18.1187,6.41125,2.74574,222.105,198.473,160.753
74,9.30464,16.4253,5.49742,2.16544,225.43,208.622,179.72
75,15.8208,18.796,6.50965,3.1054,213.736,190.663,154.877
76,10.6666,16.8487,5.51113,2.46891,221.418,198.385,159.715
77,18.2294,19.8967,6.75357,3.44552,203.552,177.569,139.766
78,15.9211,18.4573,6.05465,3.35252,218.867,197.476,162.347
79,7.405,14.5627,5.30737,1.78245,229.685,208.949,174.126
80,15.5484,18.796,6.38201,3.10619,218.992,194.249,153.986
81,14.6308,17.9493,6.28601,2.96906,222.611,199.446,159.6
82,17.5914,20.2353,6.16501,3.65423,198.321,174.06,138.84
83,13.3907,18.542,5.97555,2.85972,231.365,207.915,170.421
84,15.491,20.1507,6.45143,3.06226,220.867,198.564,164.923
85,18.5233,19.6427,6.52944,3.61925,201.111,178.507,144.093
86,15.4265,18.8807,6.0527,3.25798,218.352,196.989,160.666
87,18.9032,22.0133,7.16532,3.3696,212.847,187.156,148.263
88,15.5269,19.1347,5.94617,3.33057,235.381,214.941,179.487
89,14.982,20.4047,6.46853,2.95755,226.549,210.142,182.017
90,14.1147,19.812,6.41264,2.80672,225.288,203.426,166.098
91,11.4623,15.5787,5.24338,2.78846,216.116,191.507,154.381
92,15.1182,19.304,6.53258,2.95718,211.355,186.206,146.1
93,17.1398,19.558,6.7125,3.25677,217.401,198.961,165.3
94,14.8315,18.2033,5.73926,3.29714,219.117,194.557,159.096
95,16.3871,19.812,6.31285,3.31099,207.821,186.198,149.963
96,16.853,21.2513,6.66442,3.241,219.106,197.402,160.367
97,15.5842,18.7113,6.19396,3.20975,210.014,190.245,156.99
98,9.69891,16.0867,5.7646,2.15474,228.431,209.2,176.201
99,17.8924,20.32,6.72043,3.39333,223.16,205.345,170.662
100,19.0609,20.7433,6.77318,3.58755,210.151,189.894,156.411
101,16.0788,18.9653,6.61746,3.09799,224.936,203.476,164.866
102,16.9104,19.812,6.6812,3.22743,200.743,175.659,139.37
103,6.81002,13.5467,4.54948,1.9271,233.305,212.96,174.299
104,16.9749,18.7113,6.01146,3.60644,217.877,197.899,162.67
105,17.276,20.6587,6.45175,3.41516,215.538,197.804,163.646
106,16.5878,19.4733,6.5541,3.23012,223.558,209.133,176.871
107,11.2616,17.6107,5.91558,2.4303,207.167,188.52,155.207
108,15.3763,19.6427,6.21826,3.15576,216.623,200.817,166.817
109,11.6559,16.1713,6.0422,2.46164,200.193,175.288,139.082
110,15.534,19.05,5.93114,3.34282,229.667,206.738,168.689
111,13.3978,18.4573,5.93398,2.87935,223.384,200.274,161.04
