"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,15.2688,18.9653,6.11875,3.18296,228.899,205.733,161.804
2,15.9068,21.1667,6.75543,3.00805,213.863,190.453,152.779
3,18.6595,21.336,6.81329,3.49339,207.46,179.035,141.657
4,16.5878,19.6427,6.11088,3.46499,226.931,205.449,166.308
5,16.1863,19.8967,6.38393,3.2363,212.751,192.202,158.051
6,16.9749,18.796,6.44656,3.36164,195.719,173.192,140.058
7,17.3763,19.558,6.56766,3.37403,220.267,200.253,162.728
8,13.0036,17.1027,5.85294,2.84334,217.13,191.247,148.984
9,16.2795,19.4733,5.93277,3.50472,230.525,212.472,177.344
10,18.939,19.6427,6.28914,3.84323,210.987,190.214,155.377
11,16.3297,20.32,6.43979,3.23837,219.62,196.35,158.179
12,16.9534,20.1507,6.36254,3.40151,207.33,189.572,157.337
13,15.2616,18.796,5.66456,3.44973,213.622,185.161,146.149
14,17.5053,20.6587,6.56411,3.40198,204.893,179.69,142.145
15,16.3584,20.1507,6.27781,3.32989,221.427,192.932,151.632
16,16.3727,19.6427,6.4534,3.2471,230.465,207.171,166.871
17,15.3835,18.9653,6.12256,3.20612,212.228,192.85,156.879
18,18.7813,21.336,6.80016,3.52217,219.536,202.352,169.341
19,19.8709,20.7433,7.03253,3.60824,218.427,191.553,152.12
20,18.258,19.6427,6.62866,3.53228,223.175,206.839,171.213
21,16.6738,19.2193,5.86918,3.63144,217.697,197.734,163.91
22,13.5985,19.304,6.16299,2.81795,227.926,207.828,174.371
23,17.6057,19.8967,6.03498,3.72165,202.716,179.683,142.082
24,15.0896,18.288,5.77452,3.3317,222.311,205.136,169.367
25,12.1362,16.4253,5.3773,2.88623,218.188,193.848,154.988
26,15.2114,18.796,6.17081,3.14608,230.656,211.924,176.443
27,17.5627,20.6587,6.37315,3.52407,234.573,212.009,174.444
28,15.6415,19.4733,6.03693,3.30896,213.127,192.424,152.995
29,12.2724,17.272,5.73465,2.7413,228.584,203.286,165.008
30,15.9641,18.1187,5.97788,3.40376,223.528,196.507,155.395
31,16.4803,18.9653,5.71729,3.67624,234.922,219.412,188.982
32,15.7562,20.4893,6.58513,3.06884,223.414,197.003,154.313
33,18.2365,20.4047,6.47367,3.59231,229.315,208.588,171.233
34,20.0358,22.1827,6.99636,3.65212,215.429,199.901,165.387
35,20.5161,20.9973,6.68561,3.93071,217.176,191.112,152.084
36,18.9462,21.1667,6.84163,3.53175,202.687,177.576,137.852
37,14.4588,18.796,6.11131,3.02263,211.66,184.31,142.717
38,17.8208,21.082,6.65685,3.41576,221.083,204.314,171.939
39,16.6738,19.4733,6.07824,3.50458,220.399,197.594,162.143
40,17.4552,19.6427,6.89316,3.22987,213.139,186.15,146.938
41,17.1326,18.542,6.00978,3.63485,216.978,193.232,158.403
42,14.0645,18.2033,5.77011,3.10842,196.939,171.765,134.1
43,15.2258,18.8807,6.24165,3.11014,229.149,203.773,163.63
44,16.9175,19.304,6.25843,3.44808,214.034,196.637,162.274
45,17.0322,21.336,6.70341,3.24721,221.704,196.666,155.357
46,18.0143,20.9973,6.45723,3.56868,213.579,187.675,147.449
47,16.638,20.32,6.65174,3.19371,232.041,216.153,182.43
48,19.1684,20.9973,6.4584,3.78351,223.8,203.979,164.961
49,17.6917,20.066,6.0433,3.73945,201.643,179.491,144.347
50,16.3584,18.9653,6.55208,3.18305,221.286,196.65,155.327
51,19.0537,20.9973,6.78585,3.58217,209.44,188.329,155.012
52,14.2724,17.4413,6.02978,3.0217,224.587,201.303,160.649
53,14.4874,18.796,6.384,2.89481,219.881,197.396,158.204
54,12.595,17.9493,5.77343,2.78296,221.594,201.417,163.286
55,17.5412,19.1347,6.66809,3.35556,222.403,208.446,178.421
56,15.1971,19.4733,6.03711,3.21821,229.076,209.543,179.276
