"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,15.2903,19.05,5.93992,3.28167,211.855,186.607,148.221
2,14.0502,17.4413,5.46327,3.27958,210.768,187.946,150.934
3,16.215,20.6587,6.75425,3.07235,210.515,181.606,141.77
4,15.7276,19.4733,6.33589,3.16405,220.156,194.105,154.279
5,16.2365,18.9653,6.12254,3.38153,214.047,187.477,148.413
6,17.4695,20.1507,6.14097,3.62658,211.169,182.572,145.508
7,14.8028,17.6107,5.65117,3.33957,210.185,179.336,138.442
8,17.5699,19.7273,6.60371,3.39243,220.373,195.29,155.927
9,15.4623,18.6267,6.17475,3.1922,213.026,189.8,151.198
10,15.1828,18.9653,5.97894,3.23742,221.155,196.133,156.007
11,16.4086,18.4573,6.0453,3.45982,222.48,200.144,164.968
12,17.3476,18.9653,6.15422,3.59736,210.191,184.631,145.695
13,16.3727,18.9653,6.43621,3.24555,226.462,198.166,156.252
14,15.8423,18.6267,5.78196,3.49293,215.3,186.363,145.7
15,15.1254,17.9493,5.9097,3.27522,212.132,185.393,145.616
16,14.8243,18.8807,6.38003,2.97448,221.82,196.138,156.525
17,16.2079,20.066,6.28551,3.28688,226.594,207.787,173.615
18,16.1505,18.7113,5.97863,3.44415,219.425,192.946,151.426
19,11.9426,16.5947,5.20994,2.92376,191.814,164.641,127.178
20,17.4265,19.05,6.2306,3.56803,222.625,203.875,170.151
21,11.4623,16.002,5.41626,2.69856,228.503,205.14,165.588
22,18.3584,21.5053,6.80094,3.44097,215.957,189.229,150.029
23,16.7527,19.812,6.29742,3.39221,234.067,212.047,174.049
24,18.3942,20.828,6.40971,3.6585,225.629,197.916,156.416
25,19.6702,21.1667,6.79652,3.69343,224.802,205.197,167.44
26,17.9426,19.8967,6.25912,3.65566,210.724,187.182,151.791
27,13.6487,18.1187,5.7498,3.02681,225.139,200.788,161.808
28,13.4122,16.9333,5.61405,3.04707,216.9,193.057,153.994
29,12.7742,16.5947,5.45463,2.98664,230.121,205.373,161.564
30,13.7849,18.6267,6.01381,2.941,227.371,204.29,164.59
31,14.4659,18.7113,6.01103,3.0693,212.705,192.583,154.674
32,12.7097,17.4413,5.5197,2.94147,216.634,189.616,149.007
33,17.0107,20.4047,6.37047,3.40965,209.064,190.398,157.313
34,16.1863,18.4573,6.01056,3.43426,213.487,182.33,140.776
35,16.8458,19.3887,6.35218,3.38493,216.299,192.4,155.257
36,16.3441,20.2353,6.23755,3.34312,212.879,186.182,146.298
37,13.6129,17.78,5.8124,2.99162,228.372,200.584,153.812
38,15.3333,19.4733,6.19281,3.1845,221.508,194.913,156.439
39,16.172,18.4573,5.85635,3.52221,226.695,201.061,163.282
40,14.1003,19.812,6.38278,2.82131,235.789,214.629,176.679
41,22.2795,21.59,6.26856,4.53467,204.469,176.639,139.123
42,13.5699,18.1187,5.71547,3.02696,231.304,210.678,171.41
43,15.4552,19.304,6.02442,3.27114,217.988,190.362,149.858
44,15.2258,19.3887,6.13919,3.16212,219.537,191.645,147.665
45,15.5985,19.1347,6.06617,3.2908,213.676,184.031,140.968
46,17.4838,19.558,6.42545,3.46802,217.158,189.883,149.968
47,14.129,18.1187,5.81558,3.09891,215.305,193.172,155.637
48,18.5233,19.4733,6.44076,3.6676,214.717,190.288,153.738
49,17.1254,19.7273,6.3021,3.46597,207.716,185.542,149.69
50,16.9462,19.9813,6.58304,3.28536,225.474,203.271,163.395
51,15.4122,17.9493,5.98452,3.29073,226.546,203.19,168.19
52,12.4659,18.1187,5.51574,2.89766,224.409,199.768,158.856
53,17.5125,19.6427,6.33148,3.52584,220.19,194.63,155.756
54,13.4337,17.272,5.72157,2.99431,211.217,189.293,152.88
55,13.9068,17.78,5.8278,3.04314,203.095,173.105,132.227
56,13.362,17.9493,5.56865,3.07262,229.278,206.226,168.828
57,12.0932,17.526,5.42134,2.84543,230.636,216.542,181.635
